club name,country,league,purchase date,purchase amount,current value,acquirer
FC Malaga,Spain,La Liga,2010,$48m,,Qatar
PSG,France,,2011,70m euros,,Qatar
Manchester City,UK,English Premier League,2008,200m GBP,,Abu Dhabi
